serial,epoch,datasize,batchsize,input_width,input_height,input_dim,output_dim,max_core,executor_cores,task_cpus,driver_core,executor_instances,driver_memory,executor_memory,parallelism
1,1,60000,480,26,26,676,64,16,4,1,4,4,8g,16g,1
2,1,60000,1080,13,38,494,33,36,6,1,2,6,4g,8g,1
3,1,60000,120,38,13,494,96,4,2,1,6,2,11g,23g,1
4,1,60000,360,19,32,608,17,12,6,1,6,2,9g,5g,1
5,1,60000,450,44,7,308,80,15,3,1,3,5,3g,19g,1
6,1,60000,360,7,19,133,49,12,2,1,5,6,12g,12g,1
7,1,60000,450,32,44,1408,112,15,5,1,2,3,6g,26g,1
8,1,60000,120,16,16,256,88,4,4,1,2,1,13g,6g,1
9,1,60000,120,41,41,1681,25,4,1,1,5,4,7g,21g,1
10,1,60000,540,4,29,116,120,18,3,1,4,6,10g,14g,1
11,1,60000,540,29,4,116,57,18,6,1,7,3,3g,28g,1
12,1,60000,240,10,47,470,72,8,4,1,6,2,5g,3g,1
13,1,60000,1050,35,22,770,9,35,7,1,3,5,12g,17g,1
14,1,60000,1050,22,10,220,104,35,5,1,4,7,2g,10g,1
15,1,60000,240,47,35,1645,41,8,2,1,1,4,8g,25g,1
16,1,60000,360,24,42,1008,53,12,3,1,3,4,12g,24g,1
17,1,60000,180,48,18,864,116,6,6,1,6,1,5g,9g,1
18,1,60000,360,12,6,72,21,12,4,1,2,3,9g,16g,1
19,1,60000,180,36,30,1080,84,6,1,1,5,6,2g,2g,1
20,1,60000,750,6,24,144,37,25,5,1,5,5,7g,27g,1
21,1,60000,120,30,48,1440,100,4,2,1,2,2,14g,13g,1
22,1,60000,270,18,36,648,5,9,3,1,7,3,4g,20g,1
23,1,60000,1080,42,12,504,68,36,6,1,4,6,10g,6g,1
24,1,60000,900,9,27,243,108,30,6,1,3,5,3g,29g,1
25,1,60000,180,33,3,99,45,6,3,1,6,2,10g,15g,1
26,1,60000,180,21,15,315,76,6,2,1,2,3,6g,22g,1
27,1,60000,900,45,39,1755,13,30,5,1,5,6,13g,7g,1
28,1,60000,300,15,9,135,124,10,2,1,4,5,8g,25g,1
29,1,60000,300,39,33,1287,61,10,5,1,1,2,1g,11g,1
30,1,60000,840,3,45,135,92,28,7,1,6,4,11g,18g,1
31,1,60000,840,27,21,567,29,28,4,1,3,7,5g,4g,1
32,1,60000,450,14,31,434,74,15,5,1,5,3,10g,18g,1
33,1,60000,360,39,6,234,11,12,2,1,2,6,3g,3g,1
34,1,60000,480,2,19,38,106,16,4,1,6,4,13g,25g,1
35,1,60000,210,26,43,1118,43,7,7,1,3,1,6g,11g,1
36,1,60000,270,8,12,96,90,9,3,1,3,3,2g,21g,1
37,1,60000,1080,32,37,1184,27,36,6,1,6,6,8g,7g,1
38,1,60000,600,20,49,980,122,20,4,1,1,5,5g,29g,1
39,1,60000,60,45,25,1125,59,2,1,1,4,2,11g,14g,1
40,1,60000,180,5,40,200,19,6,2,1,4,3,6g,20g,1
41,1,60000,900,29,16,464,82,30,5,1,1,6,12g,5g,1
42,1,60000,720,17,3,51,51,24,6,1,6,4,2g,27g,1
43,1,60000,90,42,28,1176,114,3,3,1,3,1,9g,12g,1
44,1,60000,720,23,22,506,3,24,6,1,4,4,14g,16g,1
45,1,60000,630,48,46,2208,66,21,3,1,7,7,7g,1g,1
46,1,60000,150,11,34,374,35,5,1,1,2,5,11g,23g,1
47,1,60000,240,35,9,315,98,8,4,1,5,2,4g,9g,1
48,1,60000,1260,12,14,168,126,42,7,1,7,6,7g,11g,1
49,1,60000,360,37,39,1443,63,12,4,1,4,3,13g,26g,1
50,1,60000,60,25,26,650,94,2,2,1,5,1,4g,4g,1
51,1,60000,600,49,2,98,31,20,5,1,2,4,10g,19g,1
52,1,60000,420,19,45,855,110,14,2,1,2,7,12g,15g,1
53,1,60000,600,43,20,860,47,20,5,1,5,4,5g,30g,1
54,1,60000,360,6,8,48,78,12,6,1,3,2,9g,8g,1
55,1,60000,450,31,32,992,15,15,3,1,6,5,2g,22g,1
56,1,60000,720,22,5,110,39,24,4,1,6,6,8g,13g,1
57,1,60000,630,46,29,1334,102,21,7,1,3,3,1g,28g,1
58,1,60000,300,9,42,378,7,10,5,1,4,2,11g,6g,1
59,1,60000,300,34,17,578,70,10,2,1,1,5,4g,20g,1
60,1,60000,840,3,35,105,55,28,4,1,2,7,3g,10g,1
61,1,60000,120,28,11,308,118,4,1,1,5,4,9g,24g,1
62,1,60000,180,16,23,368,23,6,3,1,4,2,6g,2g,1
63,1,60000,900,40,48,1920,86,30,6,1,7,5,13g,17g,1
64,1,60000,180,21,23,483,103,6,2,1,6,3,10g,8g,1
65,1,60000,900,45,47,2115,40,30,5,1,3,6,4g,23g,1
66,1,60000,1050,8,35,280,71,35,7,1,5,5,13g,15g,1
67,1,60000,240,33,11,363,8,8,4,1,2,2,7g,30g,1
68,1,60000,540,2,41,82,119,18,6,1,2,3,2g,4g,1
69,1,60000,540,27,17,459,56,18,3,1,5,6,8g,19g,1
70,1,60000,240,14,4,56,87,8,2,1,4,4,5g,12g,1
71,1,60000,150,39,29,1131,24,5,5,1,7,1,12g,26g,1
72,1,60000,600,11,8,88,64,20,5,1,7,4,4g,3g,1
73,1,60000,420,36,32,1152,127,14,2,1,4,7,11g,17g,1
74,1,60000,450,24,44,1056,32,15,3,1,5,5,1g,10g,1
75,1,60000,360,48,20,960,95,12,6,1,2,2,8g,24g,1
76,1,60000,270,17,26,442,48,9,3,1,1,3,12g,6g,1
77,1,60000,1080,42,1,42,111,36,6,1,4,6,6g,21g,1
78,1,60000,600,5,14,70,16,20,4,1,3,5,9g,13g,1
79,1,60000,60,30,38,1140,79,2,1,1,6,2,3g,28g,1
80,1,60000,840,7,34,238,83,28,4,1,4,7,6g,29g,1
81,1,60000,840,31,9,279,20,28,7,1,1,4,13g,14g,1
82,1,60000,300,19,21,399,115,10,5,1,6,2,3g,22g,1
83,1,60000,300,43,46,1978,52,10,2,1,3,5,10g,7g,1
84,1,60000,900,25,3,75,67,30,5,1,3,6,11g,25g,1
85,1,60000,180,50,27,1350,4,6,2,1,6,3,5g,11g,1
86,1,60000,90,13,40,520,99,3,3,1,2,1,8g,18g,1
87,1,60000,720,37,15,555,36,24,6,1,5,4,2g,3g,1
88,1,60000,1470,16,49,784,12,49,7,1,5,7,9g,23g,1
89,1,60000,480,40,24,960,75,16,4,1,2,4,2g,9g,1
90,1,60000,120,4,12,48,44,4,2,1,7,2,12g,16g,1
91,1,60000,750,28,37,1036,107,25,5,1,4,5,6g,2g,1
92,1,60000,180,10,18,180,28,6,1,1,3,6,4g,27g,1
93,1,60000,360,34,43,1462,91,12,4,1,6,3,10g,13g,1
94,1,60000,360,22,30,660,60,12,6,1,2,2,7g,20g,1
95,1,60000,450,47,6,282,123,15,3,1,5,5,14g,5g,1
96,1,60000,240,8,47,376,46,8,4,1,4,2,3g,20g,1
97,1,60000,150,32,22,704,109,5,1,1,7,5,9g,6g,1
98,1,60000,540,20,10,200,14,18,3,1,2,6,6g,28g,1
99,1,60000,540,44,34,1496,77,18,6,1,5,3,12g,13g,1
100,1,60000,90,14,16,224,62,3,3,1,5,1,11g,17g,1
101,1,60000,720,38,40,1520,125,24,6,1,2,4,4g,2g,1
102,1,60000,900,1,28,28,30,30,5,1,6,6,14g,24g,1
103,1,60000,180,26,4,104,93,6,2,1,3,3,7g,9g,1
104,1,60000,60,23,37,851,117,2,1,1,3,2,13g,18g,1
105,1,60000,600,47,13,611,54,20,4,1,6,5,7g,4g,1
106,1,60000,1260,11,25,275,85,42,6,1,1,7,10g,26g,1
107,1,60000,360,35,50,1750,22,12,3,1,4,4,3g,11g,1
108,1,60000,210,4,7,28,101,7,7,1,5,1,5g,22g,1
109,1,60000,480,29,31,899,38,16,4,1,2,4,11g,8g,1
110,1,60000,360,17,43,731,69,12,2,1,6,6,2g,29g,1
111,1,60000,450,41,19,779,6,15,5,1,3,3,8g,15g,1
112,1,60000,900,18,11,198,26,30,6,1,2,5,11g,12g,1
